|        Tactic        |                                     Technique                                     |                                                                                                                                                                       Description                                                                                                                                                                       |
|:--------------------:|:---------------------------------------------------------------------------------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------:|
| Execution            | User Execution: Malicious Link (T1204.001)                                        | Create a new shortcut(.lnk) to execute itself. Create a %TEMP%/Q.lnk shortcut to connect external resources.                                                                                                                                                                                                                                            |
|                      | Command and Scripting Interpreter: Windows Command Shell (T1059.003)              | Execute a specified by C&C file by using `cmd.exe`.                                                                                                                                                                                                                                                                                                     |
|                      | Graphical User Interface (T0823)                                                  | Control mouse clicks and movements. Send {Enter} and {Backspace} keys to the keyboard.                                                                                                                                                                                                                                                                  |
|                      | User Execution: Malicious File (T1204.002)                                        | Execute file from path.                                                                                                                                                                                                                                                                                                                                 |
| Privilege Escalation | Access Token Manipulation (T1134)                                                 | Use runas command to run a VBS script.                                                                                                                                                                                                                                                                                                                  |
|                      | Event Triggered Execution: Image File Execution Options Injection (T1546.012)     | Set HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\Debugger registry key to 1.                                                                                                                                                                                                                                          |
| Persistence          | Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder (T1547.001) | Copy self to All users startup folder (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp)                                                                                                                                                                                                                                                    |
|                      | Create Account (T1136)                                                            | Create a new local user and add it to local Administrators group by executing cmd.exe /c net user /add <Username> -Guest 123 & net localgroup Administrators <Username> -Guest /add  & net localgroup Administrateurs <Username> -Guest /add command.                                                                                                   |
|                      | Scheduled Task/Job (T1053)                                                        | Create a scheduled task that will execute compiled AutoIt malware every minute.                                                                                                                                                                                                                                                                         |
| Defense Evasion      | Modify Registry (T1112)                                                           | Set the following values under HKCU\Software\Win32 registry key to store data: Key Key2 keyx data imgCli img Create and delete registry keys.                                                                                                                                                                                                           |
|                      | Deobfuscate/Decode Files or Information (T1140)                                   | Decrypt encrypted data received from C&C server.                                                                                                                                                                                                                                                                                                        |
|                      | Hide Artifacts: Hidden Window (T1564.003)                                         | Execute binaries in a hidden window. Manipulate the application window state.                                                                                                                                                                                                                                                                           |
